feature,importance_mean,importance_std
login_velocity_kmh,0.00011037096175990834,4.500179616156586e-05
asn_novel,0.00010413352577227507,2.5118108716065998e-05
device_novel,5.830749749732994e-05,2.4692076595622843e-05
impossible_travel,-6.29520506149775e-08,1.4899775079132472e-07
user_fail_count_1h,-9.335590176923238e-06,8.737926570358172e-06
ip_novel,-1.2728339425096639e-05,1.5679326276138245e-05
ip_fail_count_24h,-1.2921543041635153e-05,2.4644976052349936e-05
fail_to_success_ratio_1h,-2.2519786145712133e-05,7.375443894242438e-06
is_first_login,-0.0001164559229182694,0.00010416873806232744
hour_of_day_zscore,-0.00038664630964846045,0.0010239670512017442
dow_deviation,-0.0006157737534183893,0.0007601675654601011
