,k,n_flagged,true_positives,recall,precision
isolation_forest@0.005,0.005,685.0,0.0,0.0,0.0
random_forest@0.005,0.005,685.0,0.0,0.0,0.0
isolation_forest@0.01,0.01,1371.0,3.0,0.07894736842105263,0.002188183807439825
random_forest@0.01,0.01,1371.0,0.0,0.0,0.0
isolation_forest@0.02,0.02,2743.0,6.0,0.15789473684210525,0.002187386073641998
random_forest@0.02,0.02,2743.0,0.0,0.0,0.0
isolation_forest@0.05,0.05,6858.0,11.0,0.2894736842105263,0.0016039661708953047
random_forest@0.05,0.05,6858.0,0.0,0.0,0.0
isolation_forest@0.2,0.2,27432.0,23.0,0.6052631578947368,0.0008384368620589093
random_forest@0.2,0.2,27432.0,8.0,0.21052631578947367,0.00029163021289005544
